# genetated time: 2023-07-28 18:19:57.437705
# histogram number: 2048
# sample number: 50
# tune number: 5
###
# op_name    threshold    min    max
/mobilevit/encoder/layer.2/transformer/layer.1/intermediate/dense/Add_output_0_Add 6.7215481 -8.2719584 5.2089443
/mobilevit/encoder/layer.2/transformer/layer.1/intermediate/intermediate_act_fn/Mul_output_0_Mul 3.9179860 -0.2784646 5.1806197
/mobilevit/encoder/layer.2/transformer/layer.1/output/dense/Add_output_0_Add 14.0654373 -14.8316641 8.6522179
/mobilevit/encoder/layer.2/transformer/layer.1/output/Add_output_0_Add 21.8935471 -21.8136139 19.2173882
/mobilevit/encoder/layer.2/layernorm/Add_1_output_0_LayerNormalization 1.7007296 -1.7007296 1.6865107
/mobilevit/encoder/layer.2/Reshape_3_output_0_Reshape 1.7007296 -1.7007296 1.6865107
/mobilevit/encoder/layer.2/Transpose_2_output_0_Transpose 1.7007296 -1.7007296 1.6865107
/mobilevit/encoder/layer.2/Reshape_4_output_0_Reshape 1.7007296 -1.7007296 1.6865107
/mobilevit/encoder/layer.2/Transpose_3_output_0_Transpose 1.7007296 -1.7007296 1.6865107
/mobilevit/encoder/layer.2/Reshape_5_output_0_Reshape 1.7007296 -1.7007296 1.6865107
/mobilevit/encoder/layer.2/conv_projection/convolution/Conv_output_0_Conv 3.3152027 -3.3152027 3.1062138
/mobilevit/encoder/layer.2/conv_projection/activation/Mul_output_0_Mul 2.1190969 -0.2784646 2.9731073
/mobilevit/encoder/layer.2/Concat_output_0_Concat 1.9903874 -1.7614381 2.9731073
/mobilevit/encoder/layer.2/fusion/convolution/Conv_output_0_Conv 4.1984310 -4.1984310 2.5800972
/mobilevit/encoder/layer.2/fusion/activation/Mul_output_0_Mul 1.3970857 -0.2784646 2.3983798
/mobilevit/encoder/layer.3/downsampling_layer/expand_1x1/convolution/Conv_output_0_Conv 4.9146137 -8.1637430 14.8393602
/mobilevit/encoder/layer.3/downsampling_layer/expand_1x1/activation/Mul_output_0_Mul 2.3190569 -0.2784646 14.8393545
/mobilevit/encoder/layer.3/downsampling_layer/conv_3x3/convolution/Conv_output_0_Conv 10.4025087 -10.4025087 7.9366741
/mobilevit/encoder/layer.3/downsampling_layer/conv_3x3/activation/Mul_output_0_Mul 7.9338388 -0.2784646 7.9338388
/mobilevit/encoder/layer.3/downsampling_layer/reduce_1x1/convolution/Conv_output_0_Conv 1.3618859 -2.0467675 1.7605400
/mobilevit/encoder/layer.3/conv_kxk/convolution/Conv_output_0_Conv 7.3361163 -6.4828377 6.7878256
/mobilevit/encoder/layer.3/conv_kxk/activation/Mul_output_0_Mul 4.5551846 -0.2784646 6.7801819
/mobilevit/encoder/layer.3/conv_1x1/convolution/Conv_output_0_Conv 9.7407315 -13.1936731 11.2062435
/mobilevit/encoder/layer.3/Reshape_output_0_Reshape 13.5751667 -13.1936731 11.2062435
/mobilevit/encoder/layer.3/Transpose_output_0_Transpose 13.5751667 -13.1936731 11.2062435
/mobilevit/encoder/layer.3/Reshape_1_output_0_Reshape 13.5751667 -13.1936731 11.2062435
/mobilevit/encoder/layer.3/Transpose_1_output_0_Transpose 13.5751667 -13.1936731 11.2062435
/mobilevit/encoder/layer.3/Reshape_2_output_0_Reshape 13.5751667 -13.1936731 11.2062435
/mobilevit/encoder/layer.3/transformer/layer.0/layernorm_before/Add_1_output_0_LayerNormalization 0.8313009 -0.8313009 0.7466164
/mobilevit/encoder/layer.3/transformer/layer.0/attention/attention/query/Add_output_0_Add 3.9568213 -4.0967126 5.1053171
/mobilevit/encoder/layer.3/transformer/layer.0/attention/attention/key/Add_output_0_Add 4.4328547 -4.1600447 4.0857325
/mobilevit/encoder/layer.3/transformer/layer.0/attention/attention/Reshape_output_0_Reshape 4.4328547 -4.1600447 4.0857325
/mobilevit/encoder/layer.3/transformer/layer.0/attention/attention/value/Add_output_0_Add 1.7144599 -1.8810818 2.2724054
/mobilevit/encoder/layer.3/transformer/layer.0/attention/attention/Reshape_1_output_0_Reshape 2.2724054 -1.8810818 2.2724054
/mobilevit/encoder/layer.3/transformer/layer.0/attention/attention/Transpose_output_0_Transpose 2.2724054 -1.8810818 2.2724054
/mobilevit/encoder/layer.3/transformer/layer.0/attention/attention/Reshape_2_output_0_Reshape 5.1053171 -4.0967126 5.1053171
/mobilevit/encoder/layer.3/transformer/layer.0/attention/attention/Transpose_1_output_0_Transpose 5.1053171 -4.0967126 5.1053171
/mobilevit/encoder/layer.3/transformer/layer.0/attention/attention/Transpose_2_output_0_Transpose 4.4328547 -4.1600447 4.0857325
/mobilevit/encoder/layer.3/transformer/layer.0/attention/attention/MatMul_output_0_MatMul 61.9690781 -43.1448326 61.9690781
/mobilevit/encoder/layer.3/transformer/layer.0/attention/attention/Div_output_0_Div 8.9444666 -6.2274203 8.9444666
/mobilevit/encoder/layer.3/transformer/layer.0/attention/attention/Softmax_output_0_Softmax 0.8416133 0.0000009 0.8416133
/mobilevit/encoder/layer.3/transformer/layer.0/attention/attention/MatMul_1_output_0_MatMul 1.5334268 -1.2751249 1.4846315
/mobilevit/encoder/layer.3/transformer/layer.0/attention/attention/Transpose_3_output_0_Transpose 1.5334268 -1.2751249 1.4846315
/mobilevit/encoder/layer.3/transformer/layer.0/attention/attention/Reshape_3_output_0_Reshape 1.5334268 -1.2751249 1.4846315
/mobilevit/encoder/layer.3/transformer/layer.0/attention/output/dense/Add_output_0_Add 2.0222352 -2.1941526 2.8363373
/mobilevit/encoder/layer.3/transformer/layer.0/Add_output_0_Add 11.4842815 -14.1275988 12.1667767
/mobilevit/encoder/layer.3/transformer/layer.0/layernorm_after/Add_1_output_0_LayerNormalization 3.5481029 -3.2806218 2.5035579
/mobilevit/encoder/layer.3/transformer/layer.0/intermediate/dense/Add_output_0_Add 11.0814562 -11.9278326 6.0879979
/mobilevit/encoder/layer.3/transformer/layer.0/intermediate/intermediate_act_fn/Mul_output_0_Mul 4.4041729 -0.2784646 6.0742097
/mobilevit/encoder/layer.3/transformer/layer.0/output/dense/Add_output_0_Add 6.2522062 -9.5635538 5.8595271
/mobilevit/encoder/layer.3/transformer/layer.0/output/Add_output_0_Add 11.9089780 -15.7311764 11.8747587
/mobilevit/encoder/layer.3/transformer/layer.1/layernorm_before/Add_1_output_0_LayerNormalization 1.2658769 -1.2658769 1.0907104
/mobilevit/encoder/layer.3/transformer/layer.1/attention/attention/query/Add_output_0_Add 4.6963706 -4.5997567 4.5986938
/mobilevit/encoder/layer.3/transformer/layer.1/attention/attention/key/Add_output_0_Add 4.4967083 -5.1418571 5.2527966
/mobilevit/encoder/layer.3/transformer/layer.1/attention/attention/Reshape_output_0_Reshape 5.3603292 -5.1418571 5.2527966
/mobilevit/encoder/layer.3/transformer/layer.1/attention/attention/value/Add_output_0_Add 2.9566726 -3.5407238 3.6674440
/mobilevit/encoder/layer.3/transformer/layer.1/attention/attention/Reshape_1_output_0_Reshape 3.6674440 -3.5407238 3.6674440
/mobilevit/encoder/layer.3/transformer/layer.1/attention/attention/Transpose_output_0_Transpose 3.6674440 -3.5407238 3.6674440
/mobilevit/encoder/layer.3/transformer/layer.1/attention/attention/Reshape_2_output_0_Reshape 4.6963706 -4.5997567 4.5986938
/mobilevit/encoder/layer.3/transformer/layer.1/attention/attention/Transpose_1_output_0_Transpose 4.6963706 -4.5997567 4.5986938
/mobilevit/encoder/layer.3/transformer/layer.1/attention/attention/Transpose_2_output_0_Transpose 5.3603292 -5.1418571 5.2527966
/mobilevit/encoder/layer.3/transformer/layer.1/attention/attention/MatMul_output_0_MatMul 56.8464088 -49.6607780 64.6908722
/mobilevit/encoder/layer.3/transformer/layer.1/attention/attention/Div_output_0_Div 9.3726463 -7.1679158 9.3373232
/mobilevit/encoder/layer.3/transformer/layer.1/attention/attention/Softmax_output_0_Softmax 0.9459083 0.0000003 0.9459083
/mobilevit/encoder/layer.3/transformer/layer.1/attention/attention/MatMul_1_output_0_MatMul 1.6706374 -2.0952401 1.9724580
/mobilevit/encoder/layer.3/transformer/layer.1/attention/attention/Transpose_3_output_0_Transpose 2.0952401 -2.0952401 1.9724580
/mobilevit/encoder/layer.3/transformer/layer.1/attention/attention/Reshape_3_output_0_Reshape 2.0952401 -2.0952401 1.9724580
/mobilevit/encoder/layer.3/transformer/layer.1/attention/output/dense/Add_output_0_Add 4.9617734 -4.3767424 6.2634764
/mobilevit/encoder/layer.3/transformer/layer.1/Add_output_0_Add 11.7997196 -14.9704142 11.9360561
/mobilevit/encoder/layer.3/transformer/layer.1/layernorm_after/Add_1_output_0_LayerNormalization 4.2607355 -4.1194911 2.5157874
/mobilevit/encoder/layer.3/transformer/layer.1/intermediate/dense/Add_output_0_Add 12.9965839 -12.9965839 7.1461539
/mobilevit/encoder/layer.3/transformer/layer.1/intermediate/intermediate_act_fn/Mul_output_0_Mul 5.0790529 -0.2784646 7.1405282
/mobilevit/encoder/layer.3/transformer/layer.1/output/dense/Add_output_0_Add 10.8064726 -11.8891354 7.7324967
/mobilevit/encoder/layer.3/transformer/layer.1/output/Add_output_0_Add 15.2864631 -19.7174339 14.7422905
/mobilevit/encoder/layer.3/transformer/layer.2/layernorm_before/Add_1_output_0_LayerNormalization 1.6722289 -1.6722289 1.2111505
/mobilevit/encoder/layer.3/transformer/layer.2/attention/attention/query/Add_output_0_Add 3.5457507 -4.1293397 4.0291944
/mobilevit/encoder/layer.3/transformer/layer.2/attention/attention/key/Add_output_0_Add 4.6226096 -4.8007693 4.8261299
/mobilevit/encoder/layer.3/transformer/layer.2/attention/attention/Reshape_output_0_Reshape 4.8692107 -4.8007693 4.8261299
/mobilevit/encoder/layer.3/transformer/layer.2/attention/attention/value/Add_output_0_Add 3.4236042 -3.4080279 3.3296041
/mobilevit/encoder/layer.3/transformer/layer.2/attention/attention/Reshape_1_output_0_Reshape 3.4236042 -3.4080279 3.3296041
/mobilevit/encoder/layer.3/transformer/layer.2/attention/attention/Transpose_output_0_Transpose 3.4236042 -3.4080279 3.3296041
/mobilevit/encoder/layer.3/transformer/layer.2/attention/attention/Reshape_2_output_0_Reshape 4.4129295 -4.1293397 4.0291944
/mobilevit/encoder/layer.3/transformer/layer.2/attention/attention/Transpose_1_output_0_Transpose 4.4129295 -4.1293397 4.0291944
/mobilevit/encoder/layer.3/transformer/layer.2/attention/attention/Transpose_2_output_0_Transpose 4.8692107 -4.8007693 4.8261299
/mobilevit/encoder/layer.3/transformer/layer.2/attention/attention/MatMul_output_0_MatMul 44.9452400 -44.5811806 44.9452400
/mobilevit/encoder/layer.3/transformer/layer.2/attention/attention/Div_output_0_Div 6.4872866 -6.4347391 6.4872866
/mobilevit/encoder/layer.3/transformer/layer.2/attention/attention/Softmax_output_0_Softmax 0.7151653 0.0000040 0.7099453
/mobilevit/encoder/layer.3/transformer/layer.2/attention/attention/MatMul_1_output_0_MatMul 1.5383598 -1.8527013 2.1883464
/mobilevit/encoder/layer.3/transformer/layer.2/attention/attention/Transpose_3_output_0_Transpose 2.3310044 -1.8527013 2.1883464
/mobilevit/encoder/layer.3/transformer/layer.2/attention/attention/Reshape_3_output_0_Reshape 2.3310044 -1.8527013 2.1883464
/mobilevit/encoder/layer.3/transformer/layer.2/attention/output/dense/Add_output_0_Add 5.3119702 -5.1110482 5.3119702
/mobilevit/encoder/layer.3/transformer/layer.2/Add_output_0_Add 15.3191126 -19.2495880 15.6409235
/mobilevit/encoder/layer.3/transformer/layer.2/layernorm_after/Add_1_output_0_LayerNormalization 3.0151951 -3.0099912 2.4391356
/mobilevit/encoder/layer.3/transformer/layer.2/intermediate/dense/Add_output_0_Add 9.5108908 -11.6116171 7.9047518
/mobilevit/encoder/layer.3/transformer/layer.2/intermediate/intermediate_act_fn/Mul_output_0_Mul 6.1458621 -0.2784646 7.9018364
/mobilevit/encoder/layer.3/transformer/layer.2/output/dense/Add_output_0_Add 18.2531013 -18.2531013 9.1123877
/mobilevit/encoder/layer.3/transformer/layer.2/output/Add_output_0_Add 28.3750276 -33.7123871 21.4277306
/mobilevit/encoder/layer.3/transformer/layer.3/layernorm_before/Add_1_output_0_LayerNormalization 1.6021723 -1.6021723 1.3878131
/mobilevit/encoder/layer.3/transformer/layer.3/attention/attention/query/Add_output_0_Add 4.1086397 -4.3922868 5.0023365
/mobilevit/encoder/layer.3/transformer/layer.3/attention/attention/key/Add_output_0_Add 4.8477426 -5.5375719 4.8356190
/mobilevit/encoder/layer.3/transformer/layer.3/attention/attention/Reshape_output_0_Reshape 5.5375719 -5.5375719 4.8356190
/mobilevit/encoder/layer.3/transformer/layer.3/attention/attention/value/Add_output_0_Add 3.2387957 -4.1397033 3.6361141
/mobilevit/encoder/layer.3/transformer/layer.3/attention/attention/Reshape_1_output_0_Reshape 4.1397033 -4.1397033 3.6361141
/mobilevit/encoder/layer.3/transformer/layer.3/attention/attention/Transpose_output_0_Transpose 4.1397033 -4.1397033 3.6361141
/mobilevit/encoder/layer.3/transformer/layer.3/attention/attention/Reshape_2_output_0_Reshape 5.2151275 -4.3922868 5.0023365
/mobilevit/encoder/layer.3/transformer/layer.3/attention/attention/Transpose_1_output_0_Transpose 5.2151275 -4.3922868 5.0023365
/mobilevit/encoder/layer.3/transformer/layer.3/attention/attention/Transpose_2_output_0_Transpose 5.5375719 -5.5375719 4.8356190
/mobilevit/encoder/layer.3/transformer/layer.3/attention/attention/MatMul_output_0_MatMul 52.5866623 -48.3037262 48.2550545
/mobilevit/encoder/layer.3/transformer/layer.3/attention/attention/Div_output_0_Div 7.5902309 -6.9720426 6.9650173
/mobilevit/encoder/layer.3/transformer/layer.3/attention/attention/Softmax_output_0_Softmax 0.8608514 0.0000023 0.8608514
/mobilevit/encoder/layer.3/transformer/layer.3/attention/attention/MatMul_1_output_0_MatMul 2.5327528 -3.1157122 2.7057288
/mobilevit/encoder/layer.3/transformer/layer.3/attention/attention/Transpose_3_output_0_Transpose 3.1157122 -3.1157122 2.7057288
/mobilevit/encoder/layer.3/transformer/layer.3/attention/attention/Reshape_3_output_0_Reshape 3.1157122 -3.1157122 2.7057288
/mobilevit/encoder/layer.3/transformer/layer.3/attention/output/dense/Add_output_0_Add 7.2656938 -8.5572767 6.3679671
/mobilevit/encoder/layer.3/transformer/layer.3/Add_output_0_Add 32.1508098 -37.5150070 24.5388412
/mobilevit/encoder/layer.3/transformer/layer.3/layernorm_after/Add_1_output_0_LayerNormalization 3.0335395 -2.9018378 3.0335395
/mobilevit/encoder/layer.3/transformer/layer.3/intermediate/dense/Add_output_0_Add 7.7791512 -9.8265982 6.8766098
/mobilevit/encoder/layer.3/transformer/layer.3/intermediate/intermediate_act_fn/Mul_output_0_Mul 5.5540345 -0.2784646 6.8695230
/mobilevit/encoder/layer.3/transformer/layer.3/output/dense/Add_output_0_Add 43.7399559 -49.4698944 31.4287281
/mobilevit/encoder/layer.3/transformer/layer.3/output/Add_output_0_Add 74.1355362 -76.4379578 49.6882248
/mobilevit/encoder/layer.3/layernorm/Add_1_output_0_LayerNormalization 1.2386899 -1.2384744 1.0879614
/mobilevit/encoder/layer.3/Reshape_3_output_0_Reshape 1.2386899 -1.2384744 1.0879614
/mobilevit/encoder/layer.3/Transpose_2_output_0_Transpose 1.2386899 -1.2384744 1.0879614
/mobilevit/encoder/layer.3/Reshape_4_output_0_Reshape 1.2386899 -1.2384744 1.0879614
/mobilevit/encoder/layer.3/Transpose_3_output_0_Transpose 1.2386899 -1.2384744 1.0879614
/mobilevit/encoder/layer.3/Reshape_5_output_0_Reshape 1.2386899 -1.2384744 1.0879614
/mobilevit/encoder/layer.3/conv_projection/convolution/Conv_output_0_Conv 3.2123175 -3.2123175 2.8599293
/mobilevit/encoder/layer.3/conv_projection/activation/Mul_output_0_Mul 2.0297458 -0.2784646 2.7050061
/mobilevit/encoder/layer.3/Concat_output_0_Concat 2.0635088 -2.0467675 2.7050061
/mobilevit/encoder/layer.3/fusion/convolution/Conv_output_0_Conv 4.0935335 -4.0935335 2.3314424
/mobilevit/encoder/layer.3/fusion/activation/Mul_output_0_Mul 2.1194267 -0.2784646 2.1249878
/mobilevit/encoder/layer.4/downsampling_layer/expand_1x1/convolution/Conv_output_0_Conv 4.7115493 -6.1793985 7.5540810
/mobilevit/encoder/layer.4/downsampling_layer/expand_1x1/activation/Mul_output_0_Mul 2.9259962 -0.2784646 7.5501251
/mobilevit/encoder/layer.4/downsampling_layer/conv_3x3/convolution/Conv_output_0_Conv 4.8697419 -7.0892849 4.9406943
/mobilevit/encoder/layer.4/downsampling_layer/conv_3x3/activation/Mul_output_0_Mul 3.6004319 -0.2784646 4.9056211
/mobilevit/encoder/layer.4/downsampling_layer/reduce_1x1/convolution/Conv_output_0_Conv 1.5609497 -2.0604880 2.2693636
/mobilevit/encoder/layer.4/conv_kxk/convolution/Conv_output_0_Conv 4.0228287 -4.8149114 4.7732310
/mobilevit/encoder/layer.4/conv_kxk/activation/Mul_output_0_Mul 3.9294010 -0.2784646 4.7332211
/mobilevit/encoder/layer.4/conv_1x1/convolution/Conv_output_0_Conv 21.9767513 -21.0453625 25.2774906
/mobilevit/encoder/layer.4/Reshape_output_0_Reshape 25.5640907 -21.0453625 25.2774906
/mobilevit/encoder/layer.4/Transpose_output_0_Transpose 25.5640907 -21.0453625 25.2774906
/mobilevit/encoder/layer.4/Reshape_1_output_0_Reshape 25.5640907 -21.0453625 25.2774906
/mobilevit/encoder/layer.4/Transpose_1_output_0_Transpose 25.5640907 -21.0453625 25.2774906
/mobilevit/encoder/layer.4/Reshape_2_output_0_Reshape 25.5640907 -21.0453625 25.2774906
/mobilevit/encoder/layer.4/transformer/layer.0/layernorm_before/Add_1_output_0_LayerNormalization 0.6131835 -0.6131835 0.5310079
/mobilevit/encoder/layer.4/transformer/layer.0/attention/attention/query/Add_output_0_Add 3.6325338 -4.0748005 4.0863972
/mobilevit/encoder/layer.4/transformer/layer.0/attention/attention/key/Add_output_0_Add 3.8672523 -3.4971657 3.8251002
